::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=editor-buttons&ver=4.9.2 HTTP/1.1" 200 6491
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/load-scripts.php?c=1&load%5B%5D=heartbeat,customize-base,customize-controls,customize-widgets,accordion,customize-nav-menus,jquery-ui-slider,jquery-touch-punch,&load%5B%5D=iris,wp-color-picker,imgareaselect,customize-models,customize-views,mce-view,image-edit,updates,quicktags,wplink,jquery-ui-posit&load%5B%5D=ion,jquery-ui-menu,jquery-ui-autocomplete,thickbox,media-upload&ver=4.9.2 HTTP/1.1" 200 114115
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-content/themes/twentyseventeen/assets/js/customize-controls.js?ver=1.0 HTTP/1.1" 200 1173
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/tinymce/wp-tinymce.php?c=1&ver=4607-20171116 HTTP/1.1" 200 210699
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/images/spinner.gif HTTP/1.1" 200 4162
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/css/dashicons.min.css?ver=4.9.2 HTTP/1.1" 200 46361
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/css/customize-preview.min.css?ver=4.9.2 HTTP/1.1" 200 4971
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-content/themes/twentyseventeen/assets/css/colors-dark.css?ver=1.0 HTTP/1.1" 200 18521
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/js/wp-a11y.min.js?ver=4.9.2 HTTP/1.1" 200 653
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/js/underscore.min.js?ver=1.8.3 HTTP/1.1" 200 16415
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/js/customize-preview.min.js?ver=4.9.2 HTTP/1.1" 200 10900
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-includes/js/customize-base.min.js?ver=4.9.2 HTTP/1.1" 200 7959
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-content/themes/twentyseventeen/assets/js/customize-preview.js?ver=1.0 HTTP/1.1" 200 4630
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/wp-content/themes/twentyseventeen/assets/js/navigation.js?ver=1.0 HTTP/1.1" 200 3863
::1 - - [03/Feb/2018:15:43:04 +0800] "GET /wordpress/?customize_changeset_uuid=db8fba92-4966-4ac5-a69f-2561022f61ca&customize_theme=twentyseventeen&customize_messenger_channel=preview-0 HTTP/1.1" 200 116385
::1 - - [03/Feb/2018:15:43:05 +0800] "GET /wordpress/wp-includes/js/wp-util.min.js?ver=4.9.2 HTTP/1.1" 200 1046
::1 - - [03/Feb/2018:15:43:05 +0800] "GET /wordpress/wp-includes/js/mediaelement/renderers/vimeo.min.js?ver=4.2.6-78496d1 HTTP/1.1" 200 6181
